secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,24,Colon,0231A,1,256,22,36,102,63,33
2,25,Coronel Dorrego,00232,32,10994,513,2630,3759,2203,1889
2,25,Coronel Dorrego,00233,2,59,1,20,21,11,6
2,25,Coronel Dorrego,00234,1,136,1,45,62,19,9
2,25,Coronel Dorrego,00235,1,26,0,12,8,5,1
2,25,Coronel Dorrego,00236,1,117,2,29,40,21,25
2,25,Coronel Dorrego,00237,3,876,34,112,327,201,202
2,25,Coronel Dorrego,00238,6,1801,44,288,702,413,354
2,25,Coronel Dorrego,0236A,1,23,0,6,5,7,5
2,25,Coronel Dorrego,0237A,1,67,0,11,38,12,6
2,26,Coronel Pringles,00240,57,19667,790,5072,8051,2650,3104
2,26,Coronel Pringles,00243,3,922,30,288,351,102,151
2,26,Coronel Pringles,00246,1,62,2,16,32,8,4
2,27,Coronel De Marina L. Rosales,00248,51,17483,880,4742,6181,3154,2526
2,27,Coronel De Marina L. Rosales,00249,1,244,4,79,93,44,24
2,27,Coronel De Marina L. Rosales,0248A,2,575,20,124,252,72,107
2,27,Coronel De Marina L. Rosales,0248B,1,103,3,39,51,7,3
2,27,Coronel De Marina L. Rosales,0248C,41,14030,835,3871,5002,2287,2035
2,27,Coronel De Marina L. Rosales,0248D,18,6090,345,1709,2089,950,997
2,27,Coronel De Marina L. Rosales,0248E,31,10847,656,3402,3536,1851,1402
2,27,Coronel De Marina L. Rosales,0248F,4,1339,43,607,487,132,70
2,27,Coronel De Marina L. Rosales,0249A,6,1753,105,595,574,273,206
2,27,Coronel De Marina L. Rosales,0249B,1,291,7,86,96,38,64
2,28,Coronel Suarez,00252,68,23682,5353,4328,9236,2280,2485
2,28,Coronel Suarez,00253,5,1658,416,195,703,170,174
2,28,Coronel Suarez,00254,14,4777,927,890,2033,377,550
2,28,Coronel Suarez,00255,1,41,4,12,18,6,1
2,28,Coronel Suarez,00258,1,201,44,32,81,14,30
2,28,Coronel Suarez,0255A,2,44,4,12,25,2,1
2,28,Coronel Suarez,0256A,1,232,33,59,70,21,49
2,28,Coronel Suarez,0258A,7,2290,621,315,841,258,255
2,28,Coronel Suarez,0258B,8,2513,763,258,933,214,345
2,28,Coronel Suarez,0258C,1,149,37,18,63,14,17
2,29,Chacabuco,00189,117,40938,1018,6138,13909,6806,13067
2,29,Chacabuco,00190,4,1226,32,306,381,267,240
2,29,Chacabuco,00191,2,70,1,19,29,6,15
2,29,Chacabuco,00193,2,117,2,30,51,16,18
2,29,Chacabuco,00195,2,85,2,21,39,12,11
2,29,Chacabuco,00197,6,1802,34,355,510,270,633
2,29,Chacabuco,00198,2,584,13,100,192,79,200
2,29,Chacabuco,0196A,1,61,0,13,23,11,14
2,30,Chascomus,00201,94,32679,1227,5569,12716,7098,6069
2,30,Chascomus,00202,3,1024,37,174,397,225,191
2,30,Chascomus,00203,6,1864,68,263,741,403,389
2,30,Chascomus,00204,1,96,3,14,42,31,6
2,30,Chascomus,00205,3,138,4,24,65,30,15
2,30,Chascomus,00209,2,484,14,114,145,88,123
2,31,Chivilcoy,00211,168,58704,4196,9671,22197,8703,13937
2,31,Chivilcoy,00212,2,133,5,22,56,23,27
2,31,Chivilcoy,00215,2,113,6,14,49,31,13
2,31,Chivilcoy,00216,1,112,3,13,44,31,21
2,31,Chivilcoy,00218,2,385,14,69,154,53,95
2,31,Chivilcoy,00219,1,70,1,9,41,17,2
2,31,Chivilcoy,00220,1,153,12,30,56,35,20
2,31,Chivilcoy,00221,1,152,6,25,78,29,14
2,31,Chivilcoy,00222,7,2332,113,400,905,628,286
2,31,Chivilcoy,00224,1,250,33,41,105,46,25
2,31,Chivilcoy,00226,1,36,6,2,15,10,3
2,32,Daireaux,00179,37,12711,356,2064,5237,1705,3349
2,32,Daireaux,00180,2,600,9,166,208,82,135
2,32,Daireaux,00181,1,152,2,30,68,22,30
2,32,Daireaux,00182,1,55,0,15,16,6,18
2,32,Daireaux,00183,6,2010,38,441,784,203,544
2,33,Dolores,00282,75,25935,968,4190,6950,3941,9886
2,33,Dolores,00285,1,167,19,17,40,29,62
2,34,Ensenada,00490,40,13627,327,2308,4936,774,5282
2,34,Ensenada,00491,101,35833,962,5688,11028,2532,15623
2,34,Ensenada,00492,1,188,3,27,64,20,74
2,34,Ensenada,0491A,38,13030,276,1739,4763,659,5593
2,35,Escobar,00773,102,36398,845,7422,15596,3099,9436
2,35,Escobar,00774,180,63865,1661,15734,25342,5577,15551
2,35,Escobar,00775,54,19015,459,4585,6975,1821,5175
2,35,Escobar,0773A,208,72941,1714,13449,28100,6071,23607
2,35,Escobar,0773B,73,25205,726,3518,8817,1978,10166
2,36,Esteban Echeverria,00286,16,5345,135,740,2483,482,1505
2,36,Esteban Echeverria,00287,79,28306,1202,3906,11580,2951,8667
2,36,Esteban Echeverria,00288,103,38556,1997,7187,16733,4426,8213
2,36,Esteban Echeverria,00291,44,15323,1003,3652,4473,2181,4014
2,36,Esteban Echeverria,0286A,106,38471,1315,4730,16961,3748,11717
2,36,Esteban Echeverria,0287A,55,19059,899,3225,6812,2195,5928
2,36,Esteban Echeverria,0287B,21,7222,227,2720,2294,795,1186
2,36,Esteban Echeverria,0287C,57,20167,890,2381,8804,2108,5984
2,36,Esteban Echeverria,0287D,72,25149,1243,3623,9108,3180,7995
2,36,Esteban Echeverria,0288A,57,20628,1025,4424,7710,2663,4806
2,36,Esteban Echeverria,0288B,92,32265,1475,4860,11870,3789,10271
2,36,Esteban Echeverria,0291A,72,26249,1148,3753,11248,2657,7443
2,37,Exaltacion de la Cruz,00292,33,11055,324,2299,3962,1592,2878
2,37,Exaltacion de la Cruz,00293,38,13076,310,2594,5227,1643,3302
2,37,Exaltacion de la Cruz,00294,13,4353,99,794,1853,540,1067
2,37,Exaltacion de la Cruz,00295,20,6762,136,1557,2779,597,1693
2,37,Exaltacion de la Cruz,00297,2,571,13,117,283,51,107
2,37,Exaltacion de la Cruz,00298,1,333,3,103,167,22,38
2,38,Florencio Varela,00302,340,121963,2124,18413,50306,13527,37593
2,38,Florencio Varela,00303,18,6275,88,764,3176,776,1471
2,38,Florencio Varela,0302A,142,50419,794,5391,23162,4939,16133
2,38,Florencio Varela,0302B,78,27097,561,3170,10950,3269,9147
2,38,Florencio Varela,0302C,102,35719,770,5342,13215,4714,11678
2,38,Florencio Varela,0302D,58,19964,322,2770,7619,2561,6692
2,38,Florencio Varela,0302E,155,54924,1096,6782,24057,6326,16663
2,38,Florencio Varela,0302F,19,6501,127,918,2590,882,1984
