secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,EN_BLANCO,JxC,LLA,NO_VOTANTES,OTROS,UxP,VOTANTES
2,12,Berisso,00512,63,21991,2023,1655,4076,2999,4600,688,7973,17391
2,12,Berisso,00513,95,33482,2023,2462,5253,4828,7892,1211,11836,25590
2,12,Berisso,0513A,68,24506,2023,1707,3374,4164,6770,1055,7436,17736
2,13,Bolivar,00125,78,27251,2023,2845,6917,4455,5526,509,6999,21725
2,13,Bolivar,00126,1,40,2023,0,10,11,15,2,2,25
2,13,Bolivar,00127,1,230,2023,16,58,25,50,4,77,180
2,13,Bolivar,00128,1,53,2023,1,16,8,20,2,6,33
2,13,Bolivar,00129,1,52,2023,5,9,11,17,0,10,35
2,13,Bolivar,00131,1,40,2023,1,8,6,11,0,14,29
2,13,Bolivar,00132,8,2530,2023,243,817,375,557,30,508,1973
2,13,Bolivar,00133,4,1374,2023,115,394,215,274,23,353,1100
2,13,Bolivar,0125A,1,37,2023,2,10,12,11,1,1,26
2,13,Bolivar,0131A,1,54,2023,2,16,6,19,2,9,35
2,14,Bragado,00136,94,32655,2023,3578,7739,5152,7619,230,8337,25036
2,14,Bragado,00137,4,1056,2023,135,179,177,200,0,365,856
2,14,Bragado,00138,1,123,2023,15,34,18,24,2,30,99
2,14,Bragado,00139,1,18,2023,0,2,0,9,0,7,9
2,14,Bragado,00140,2,608,2023,54,169,113,104,2,166,504
2,14,Bragado,00141,1,220,2023,33,49,31,40,1,66,180
2,14,Bragado,00142,1,72,2023,10,20,8,16,2,16,56
2,14,Bragado,00143,7,2214,2023,182,405,418,566,2,641,1648
2,14,Bragado,00144,2,399,2023,27,147,87,85,2,51,314
2,14,Bragado,00145,2,362,2023,29,97,110,73,2,51,289
2,15,Brandsen,00148,65,22717,2023,2045,5033,4051,4740,487,6361,17977
2,15,Brandsen,00149,1,289,2023,15,97,51,68,3,55,221
2,15,Brandsen,00150,7,2328,2023,239,603,433,337,49,667,1991
2,15,Brandsen,00151,4,1176,2023,97,270,270,231,14,294,945
2,15,Brandsen,00152,1,323,2023,27,68,53,74,3,98,249
2,15,Brandsen,00153,1,305,2023,26,66,98,56,7,52,249
2,15,Brandsen,0153A,1,256,2023,21,73,48,61,9,44,195
2,16,Campana,00155,58,20272,2023,1692,6240,3072,4246,544,4478,16026
2,16,Campana,00156,50,17527,2023,2340,3205,2414,4841,403,4324,12686
2,16,Campana,0155A,56,20511,2023,1497,6007,3056,5434,579,3938,15077
2,16,Campana,0156A,55,19191,2023,1957,4714,3505,3952,598,4465,15239
2,16,Campana,0156B,35,12272,2023,1604,2457,2000,2679,332,3200,9593
2,17,Canuelas,00157,99,35521,2023,2052,6191,6581,10075,1034,9588,25446
2,17,Canuelas,00158,12,3900,2023,292,836,761,774,145,1092,3126
2,17,Canuelas,00159,4,1389,2023,100,292,263,283,57,394,1106
2,17,Canuelas,00160,1,168,2023,16,26,22,34,11,59,134
2,17,Canuelas,00162,1,197,2023,17,29,35,55,3,58,142
2,17,Canuelas,0158A,23,7929,2023,644,560,1408,1367,292,3658,6562
2,17,Canuelas,0158B,15,5162,2023,364,444,1064,1172,137,1981,3990
2,18,Capitan Sarmiento,00121,39,13465,2023,1586,3734,2733,2721,160,2531,10744
2,18,Capitan Sarmiento,00122,1,295,2023,35,83,49,64,0,64,231
2,19,Carlos Casares,00164,52,18158,2023,2477,3497,3680,3967,90,4447,14191
2,19,Carlos Casares,00165,2,591,2023,72,115,164,115,2,123,476
2,19,Carlos Casares,00166,1,186,2023,17,29,65,40,3,32,146
2,19,Carlos Casares,00167,2,506,2023,38,93,140,84,4,147,422
2,19,Carlos Casares,0164A,1,35,2023,4,6,3,14,2,6,21
2,19,Carlos Casares,0165A,1,90,2023,14,14,22,20,3,17,70
2,19,Carlos Casares,0165B,2,474,2023,45,77,92,106,4,150,368
2,19,Carlos Casares,0166A,1,136,2023,20,16,35,45,2,18,91
2,19,Carlos Casares,0167A,1,247,2023,23,50,42,74,2,56,173
2,20,Carlos Tejedor,00169,17,5513,2023,709,1133,634,827,22,2188,4686
2,20,Carlos Tejedor,00170,2,512,2023,38,151,54,91,1,177,421
2,20,Carlos Tejedor,00171,2,427,2023,55,101,66,46,1,158,381
2,20,Carlos Tejedor,00172,2,638,2023,108,108,76,94,2,250,544
2,20,Carlos Tejedor,00173,10,3170,2023,320,1036,378,450,3,983,2720
2,21,Carmen de Areco,00175,39,13233,2023,1661,2682,2320,2476,116,3978,10757
2,21,Carmen de Areco,00176,2,549,2023,66,93,106,113,2,169,436
2,21,Carmen de Areco,00177,1,190,2023,20,40,31,40,1,58,150
2,22,Patagones,00729,59,20611,2023,1882,3792,3411,5581,473,5472,15030
2,22,Patagones,00730,1,120,2023,8,27,18,38,2,27,82
2,22,Patagones,00731,7,2154,2023,176,543,372,587,34,442,1567
2,22,Patagones,00732,15,5020,2023,381,1048,1361,1387,55,788,3633
2,22,Patagones,00733,4,1149,2023,103,264,357,238,13,174,911
2,22,Patagones,0731A,3,832,2023,50,209,171,241,13,148,591
2,23,Castelli,00185,25,7939,2023,749,1640,1059,1776,96,2619,6163
2,23,Castelli,00187,1,154,2023,10,52,11,33,2,46,121
2,24,Colon,00230,63,21819,2023,2669,4404,3178,4653,329,6586,17166
2,24,Colon,00231,1,243,2023,19,41,37,52,2,92,191
2,24,Colon,0230A,1,82,2023,7,29,12,20,0,14,62
2,24,Colon,0231A,1,258,2023,33,50,53,50,6,66,208
2,25,Coronel Dorrego,00232,32,10939,2023,1488,3074,1696,2232,156,2293,8707
2,25,Coronel Dorrego,00233,2,61,2023,2,23,11,18,2,5,43
2,25,Coronel Dorrego,00234,1,145,2023,9,54,32,33,3,14,112
2,25,Coronel Dorrego,00235,1,27,2023,0,9,8,10,0,0,17
2,25,Coronel Dorrego,00236,1,136,2023,13,41,16,35,3,28,101
